FILTER,DATA TYPE,EXAMPLE,NOTES
result_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
event_id,integer,,
event_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
tournament_id,integer,,
tournament_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
competitor_id,integer,,
competitor_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
first_name,string,,case insensitive full string match
first_name_contains,string,,case insensitive full string match
last_name,string,,case insensitive full string match
last_name_contains,string,,case insensitive full string match
team_name,string,,case insensitive full string match
team_name_contains,string,,case insensitive full string match
tournament_name,string,,case insensitive full string match
tournament_name_contains,string,,case insensitive full string match
tournament_start_date_eq,ISO 8601 date,2013-02-16,
tournament_start_date_gte,ISO 8601 date,2013-02-16,
tournament_start_date_lte,ISO 8601 date,2013-02-16,
tournament_end_date_eq,ISO 8601 date,2013-02-16,
tournament_end_date_gte,ISO 8601 date,2013-02-16,
tournament_end_date_lte,ISO 8601 date,2013-02-16,
weapon,enum,,"any one of ""foil"", ""epee"" or ""saber"""
gender,enum,,"any of ""men"", ""women"", ""mixed"", ""men-mixed"", ""women-mixed"" (case insensitive)"
age_limit,enum,,"any of ""none"", ""y8"", ""y10"", ""y12"", ""y14"", ""u16"", ""u19"",  ""vet40"", ""vet50"", ""vet60"", ""vet70"", ""vetcombined"", ""youth"", ""cadet"", ""junior"", ""cadet_lte"", ""junior_lte"", ""senior"", ""open"", ""senior-open"", ""veteran"""
rating_limit,enum,,"any of ""open"", ""unrated"", ""eunder"", ""div3"", ""div2"", ""div1a"", ""dabove"", ""div1"", ""babove"", ""aonly"""
entries_eq,integer,,
entries_gte,integer,,
entries_lte,integer,,
is_team,1 or 0,,"1 = true, 0 = false"
date_1_eq,ISO 8601 date,2013-02-16,"Two date filters can be used in conjunction to acheive between behavior.
These filters query against event date when the organizer specified it, and against tournament start date when they did not."
date_1_gte,ISO 8601 date,2013-02-16,
date_1_lte,ISO 8601 date,2013-02-16,
date_2_eq,ISO 8601 date,2013-02-16,
date_2_gte,ISO 8601 date,2013-02-16,
date_2_lte,ISO 8601 date,2013-02-16,
authority,enum,,
place_eq,integer,,
place_gte,integer,,
place_lte,integer,,
tournament_division_id,integer,,
tournament_division_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
competitor_division_id,integer,,
competitor_division_ids,comma separated list of integers,"2,6,34,3,75",maximum 100 ids
club_id,integer,,
rating_before_letter_eq,char,,"A, B, C, D, E, U"
rating_before_letter_gte,char,,"A, B, C, D, E, U"
rating_before_letter_lte,char,,"A, B, C, D, E, U"
rating_before_year_eq,four digit year,,
rating_before_year_gte,four digit year,,
rating_before_year_lte,four digit year,,
rating_earned_letter_eq,char,,"A, B, C, D, E, U"
rating_earned_letter_gte,char,,"A, B, C, D, E, U"
rating_earned_letter_lte,char,,"A, B, C, D, E, U"
rating_earned_year_eq,four digit year,,
rating_earned_year_gte,four digit year,,
rating_earned_year_lte,four digit year,,
is_excluded,1 or 0,,"1 = true, 0 = false"
is_withdraw,1 or 0,,"1 = true, 0 = false"
